ID,Vehicle Type,Year,vhkm
0,Total motor vehicles,1990,96353.0
1,Total motor vehicles,1991,96465.0
2,Total motor vehicles,1992,101215.0
3,Total motor vehicles,1993,101037.0
4,Total motor vehicles,1994,102798.0
5,Total motor vehicles,1995,101990.0
6,Total motor vehicles,1996,103604.0
7,Total motor vehicles,1997,106257.0
8,Total motor vehicles,1998,109333.0
9,Total motor vehicles,1999,114417.0
10,Total motor vehicles,2000,116302.0
11,Total motor vehicles,2001,118254.4
12,Total motor vehicles,2002,120481.8
13,Total motor vehicles,2003,122035.1
14,Total motor vehicles,2004,125340.5
15,Total motor vehicles,2005,125232.0
16,Total motor vehicles,2006,125715.6
17,Total motor vehicles,2007,128007.3
18,Total motor vehicles,2008,127536.9
19,Total motor vehicles,2009,127297.3
20,Total motor vehicles,2010,127928.1
21,Total motor vehicles,2011,128286.0
22,Total motor vehicles,2012,127896.2
23,Total motor vehicles,2013,127233.2
24,Total motor vehicles,2014,127680.2
25,Total motor vehicles,2015,129615.8
26,Total motor vehicles,2016,133256.1
27,Total motor vehicles,2017,135175.4
28,Total motor vehicles,2018,137166.7
29,Total motor vehicles,2019,137648.7
30,Total motor vehicles,2020,119140.7
31,Passenger car,1990,81871.0
32,Passenger car,1991,81164.0
33,Passenger car,1992,84626.0
34,Passenger car,1993,83538.0
35,Passenger car,1994,85226.0
36,Passenger car,1995,84152.0
37,Passenger car,1996,85453.0
38,Passenger car,1997,87256.0
39,Passenger car,1998,89210.0
40,Passenger car,1999,92573.0
41,Passenger car,2000,93198.0
42,Passenger car,2001,94262.8
43,Passenger car,2002,96254.2
44,Passenger car,2003,97414.3
45,Passenger car,2004,99939.9
46,Passenger car,2005,99504.5
47,Passenger car,2006,100468.3
48,Passenger car,2007,102218.4
49,Passenger car,2008,101250.2
50,Passenger car,2009,101514.0
51,Passenger car,2010,102307.6
52,Passenger car,2011,102956.4
53,Passenger car,2012,103122.1
54,Passenger car,2013,103211.2
55,Passenger car,2014,103699.1
56,Passenger car,2015,105088.9
57,Passenger car,2016,107708.1
58,Passenger car,2017,108936.1
59,Passenger car,2018,110355.9
60,Passenger car,2019,110372.8
61,Passenger car,2020,92654.2
62,Delivery van,1990,8065.0
63,Delivery van,1991,8571.0
64,Delivery van,1992,9518.0
65,Delivery van,1993,10475.0
66,Delivery van,1994,10551.0
67,Delivery van,1995,10562.0
68,Delivery van,1996,10938.0
69,Delivery van,1997,11728.0
70,Delivery van,1998,12771.0
71,Delivery van,1999,14018.0
72,Delivery van,2000,15351.0
73,Delivery van,2001,16398.8
74,Delivery van,2002,16613.7
75,Delivery van,2003,17010.2
76,Delivery van,2004,17721.3
77,Delivery van,2005,17908.7
78,Delivery van,2006,17253.1
79,Delivery van,2007,17567.7
80,Delivery van,2008,17859.3
81,Delivery van,2009,17407.0
82,Delivery van,2010,17287.3
83,Delivery van,2011,17056.1
84,Delivery van,2012,16649.0
85,Delivery van,2013,16309.2
86,Delivery van,2014,16295.5
87,Delivery van,2015,16544.3
88,Delivery van,2016,17144.3
89,Delivery van,2017,17668.4
90,Delivery van,2018,18217.0
91,Delivery van,2019,18683.4
92,Delivery van,2020,18107.8
93,Lorry (road tractor not included),1990,3403.0
94,Lorry (road tractor not included),1991,3588.0
95,Lorry (road tractor not included),1992,3720.0
96,Lorry (road tractor not included),1993,3599.0
97,Lorry (road tractor not included),1994,3624.0
98,Lorry (road tractor not included),1995,3726.0
99,Lorry (road tractor not included),1996,3583.0
100,Lorry (road tractor not included),1997,3590.0
101,Lorry (road tractor not included),1998,3526.0
102,Lorry (road tractor not included),1999,3705.0
103,Lorry (road tractor not included),2000,3522.0
104,Lorry (road tractor not included),2001,3176.3
105,Lorry (road tractor not included),2002,3028.3
106,Lorry (road tractor not included),2003,2914.0
107,Lorry (road tractor not included),2004,2859.6
108,Lorry (road tractor not included),2005,2807.2
109,Lorry (road tractor not included),2006,2758.6
110,Lorry (road tractor not included),2007,2767.9
111,Lorry (road tractor not included),2008,2735.6
112,Lorry (road tractor not included),2009,2669.8
113,Lorry (road tractor not included),2010,2564.2
