"ID";"Sources";"Emissions";"Periods";"EmissionsDutchTerritory_1"
"0";"A025421";"A044109";"1990JJ00";" 33400.0"
"1";"A025421";"A044109";"1991JJ00";" 33300.0"
"2";"A025421";"A044109";"1992JJ00";" 34600.0"
"3";"A025421";"A044109";"1993JJ00";" 34800.0"
"4";"A025421";"A044109";"1994JJ00";" 35400.0"
"5";"A025421";"A044109";"1995JJ00";" 35600.0"
"6";"A025421";"A044109";"1996JJ00";" 36100.0"
"7";"A025421";"A044109";"1997JJ00";" 37200.0"
"8";"A025421";"A044109";"1998JJ00";" 37800.0"
"9";"A025421";"A044109";"1999JJ00";" 39500.0"
"10";"A025421";"A044109";"2000JJ00";" 39800.0"
"11";"A025421";"A044109";"2001JJ00";" 40300.0"
"12";"A025421";"A044109";"2002JJ00";" 40600.0"
"13";"A025421";"A044109";"2003JJ00";" 41100.0"
"14";"A025421";"A044109";"2004JJ00";" 41800.0"
"15";"A025421";"A044109";"2005JJ00";" 41900.0"
"16";"A025421";"A044109";"2006JJ00";" 42000.0"
"17";"A025421";"A044109";"2007JJ00";" 41700.0"
"18";"A025421";"A044109";"2008JJ00";" 41400.0"
"19";"A025421";"A044109";"2009JJ00";" 40500.0"
"20";"A025421";"A044109";"2010JJ00";" 40500.0"
"21";"A025421";"A044109";"2011JJ00";" 40600.0"
"22";"A025421";"A044109";"2012JJ00";" 39700.0"
"23";"A025421";"A044109";"2013JJ00";" 38600.0"
"24";"A025421";"A044109";"2014JJ00";" 38900.0"
"25";"A025421";"A044109";"2015JJ00";" 39800.0"
"26";"A025421";"A044109";"2016JJ00";" 40200.0"
"27";"A025421";"A044109";"2017JJ00";" 40400.0"
"28";"A025421";"A044109";"2018JJ00";" 41200.0"
"29";"A025421";"A044109";"2019JJ00";" 41200.0"
"30";"A025421";"A044109";"2020JJ00";" 37700.0"
"31";"A025421";"A044109";"2021JJ00";" 38300.0"
"32";"A025421";"A044108";"1990JJ00";"   777.0"
"33";"A025421";"A044108";"1991JJ00";"   684.9"
"34";"A025421";"A044108";"1992JJ00";"   664.3"
"35";"A025421";"A044108";"1993JJ00";"   622.1"
"36";"A025421";"A044108";"1994JJ00";"   591.5"
"37";"A025421";"A044108";"1995JJ00";"   573.2"
"38";"A025421";"A044108";"1996JJ00";"   558.8"
"39";"A025421";"A044108";"1997JJ00";"   535.3"
"40";"A025421";"A044108";"1998JJ00";"   514.6"
"41";"A025421";"A044108";"1999JJ00";"   507.0"
"42";"A025421";"A044108";"2000JJ00";"   490.5"
"43";"A025421";"A044108";"2001JJ00";"   488.8"
"44";"A025421";"A044108";"2002JJ00";"   491.9"
"45";"A025421";"A044108";"2003JJ00";"   493.7"
"46";"A025421";"A044108";"2004JJ00";"   494.2"
"47";"A025421";"A044108";"2005JJ00";"   485.2"
"48";"A025421";"A044108";"2006JJ00";"   479.4"
"49";"A025421";"A044108";"2007JJ00";"   477.1"
"50";"A025421";"A044108";"2008JJ00";"   468.6"
"51";"A025421";"A044108";"2009JJ00";"   461.1"
"52";"A025421";"A044108";"2010JJ00";"   455.4"
"53";"A025421";"A044108";"2011JJ00";"   448.4"
"54";"A025421";"A044108";"2012JJ00";"   433.8"
"55";"A025421";"A044108";"2013JJ00";"   420.6"
"56";"A025421";"A044108";"2014JJ00";"   405.4"
"57";"A025421";"A044108";"2015JJ00";"   399.6"
"58";"A025421";"A044108";"2016JJ00";"   389.0"
