"ID";"TypesOfVehicle";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6"
"0";"A018928";"1990JJ00";" 96353.0";" 91990.0";"  4365.0";"102045.0";" 91990.0";" 10056.0"
"1";"A018928";"1991JJ00";" 96465.0";" 91998.0";"  4465.0";"104089.0";" 91998.0";" 12090.0"
"2";"A018928";"1992JJ00";"101215.0";" 96576.0";"  4639.0";"108434.0";" 96576.0";" 11859.0"
"3";"A018928";"1993JJ00";"101037.0";" 96352.0";"  4685.0";"109636.0";" 96352.0";" 13283.0"
"4";"A018928";"1994JJ00";"102798.0";" 97977.0";"  4820.0";"112477.0";" 97977.0";" 14498.0"
"5";"A018928";"1995JJ00";"101990.0";" 97108.0";"  4882.0";"113855.0";" 97108.0";" 16744.0"
"6";"A018928";"1996JJ00";"103604.0";" 98694.0";"  4909.0";"114246.0";" 98694.0";" 15554.0"
"7";"A018928";"1997JJ00";"106257.0";"101149.0";"  5109.0";"118917.0";"101149.0";" 17767.0"
"8";"A018928";"1998JJ00";"109333.0";"104145.0";"  5189.0";"120408.0";"104145.0";" 16263.0"
"9";"A018928";"1999JJ00";"114417.0";"109142.0";"  5277.0";"126563.0";"109142.0";" 17420.0"
"10";"A018928";"2000JJ00";"116302.0";"111071.0";"  5228.0";"129044.0";"111071.0";" 17973.0"
"11";"A018928";"2001JJ00";"118254.4";"112893.3";"  5361.2";"130633.7";"112893.3";" 17740.6"
"12";"A018928";"2002JJ00";"120481.8";"114823.7";"  5658.2";"132102.7";"114823.7";" 17279.0"
"13";"A018928";"2003JJ00";"122035.1";"116234.5";"  5800.6";"133454.8";"116234.5";" 17220.3"
"14";"A018928";"2004JJ00";"125340.5";"119350.2";"  5990.4";"135881.7";"119350.2";" 16531.5"
"15";"A018928";"2005JJ00";"125232.0";"119177.3";"  6054.7";"137071.2";"119177.3";" 17893.9"
"16";"A018928";"2006JJ00";"125715.6";"119536.9";"  6178.7";"138308.5";"119536.9";" 18771.6"
"17";"A018928";"2007JJ00";"128007.3";"121694.2";"  6313.1";"141186.4";"121694.2";" 19492.2"
"18";"A018928";"2008JJ00";"127536.9";"121355.7";"  6181.2";"142922.3";"121355.7";" 21566.7"
"19";"A018928";"2009JJ00";"127297.3";"121232.1";"  6065.2";"141948.5";"121232.1";" 20716.4"
"20";"A018928";"2010JJ00";"127928.1";"121809.3";"  6118.9";"140983.9";"121809.3";" 19174.6"
"21";"A018928";"2011JJ00";"128286.0";"122071.1";"  6214.9";"142927.2";"122071.1";" 20856.1"
"22";"A018928";"2012JJ00";"127896.2";"121744.2";"  6152.0";"141354.9";"121744.2";" 19610.7"
"23";"A018928";"2013JJ00";"127233.2";"121058.9";"  6174.3";"140850.0";"121058.9";" 19791.1"
"24";"A018928";"2014JJ00";"127680.2";"121228.0";"  6452.2";"141383.4";"121228.0";" 20155.4"
"25";"A018928";"2015JJ00";"129615.8";"122988.4";"  6627.4";"143026.0";"122988.4";" 20037.6"
"26";"A018928";"2016JJ00";"133256.1";"126275.7";"  6980.4";"146589.1";"126275.7";" 20313.3"
"27";"A018928";"2017JJ00";"135175.4";"128017.1";"  7158.4";"148524.6";"128017.1";" 20507.5"
"28";"A018928";"2018JJ00";"137166.7";"129973.9";"  7192.8";"150755.2";"129973.9";" 20781.2"
"29";"A018928";"2019JJ00";"137648.7";"130261.7";"  7387.1";"151915.9";"130261.7";" 21654.3"
"30";"A018928";"2020JJ00";"119140.7";"114022.9";"  5117.8";"128964.9";"114022.9";" 14942.0"
"31";"A018943";"1990JJ00";" 81871.0";" 78200.0";"  3671.0";" 85132.0";" 78200.0";"  6932.0"
"32";"A018943";"1991JJ00";" 81164.0";" 77448.0";"  3715.0";" 86165.0";" 77448.0";"  8717.0"
"33";"A018943";"1992JJ00";" 84626.0";" 80785.0";"  3841.0";" 89081.0";" 80785.0";"  8296.0"
"34";"A018943";"1993JJ00";" 83538.0";" 79690.0";"  3848.0";" 89242.0";" 79690.0";"  9552.0"
"35";"A018943";"1994JJ00";" 85226.0";" 81263.0";"  3963.0";" 91917.0";" 81263.0";" 10654.0"
"36";"A018943";"1995JJ00";" 84152.0";" 80148.0";"  4005.0";" 92874.0";" 80148.0";" 12726.0"
